"","Name","Product"
"b1160","iraM","RpoS stabilzer during Mg starvation, anti-RssB factor"
"b1161","ycgX","DUF1398 family protein"
"b1162","bluR","repressor of blue light-responsive genes"
"b1163","bluF","anti-repressor for YcgE, blue light-responsive; FAD-binding; has c-di-GMP phosphodiesterase-like EAL domain, but does not degrade c-di-GMP"
"b1164","ycgZ","RcsB connector protein for regulation of biofilm and acid-resistance"
"b1165","ymgA","RcsB connector protein for regulation of biofilm"
"b1166","ariR","RcsB connector protein for regulation of biofilm and acid-resistance"
"b1167","ymgC","Blue light, low temperature and stress induced protein"
"b1168","ycgG","putative membrane-anchored cyclic-di-GMP phosphodiesterase"
"b4520","ymgF","inner membrane division septum protein"
"b1171","ymgD","uncharacterized protein"
"b1172","ymgG","UPF0757 family protein"
"b4593","ymgI","uncharacterized protein"
"b4594","ymgJ","uncharacterized protein"
"b1174","minE","cell division topological specificity factor"
"b1175","minD","membrane ATPase of the MinC-MinD-MinE system"
"b1176","minC","cell division inhibitor"
"b1177","ycgJ","uncharacterized protein"
"b1178","pliG","periplasmic inhibitor of g-type lysozyme"
"b1179","ycgL","UPF0745 family protein"
"b1180","ycgM","putative isomerase/hydrolase"
"b1181","ycgN","UPF0153 family cysteine cluster protein"
"b1182","hlyE","hemolysin E"
"b1183","umuD","DNA polymerase V, subunit D"
"b1184","umuC","DNA polymerase V, subunit C"
"b1185","dsbB","oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I"
"b1186","nhaB","sodium:proton antiporter"
"b1187","fadR","fatty acid metabolism regulon transcriptional regulator"
"b1188","ycgB","SpoVR family stationary phase protein"
"b1189","dadA","D-amino acid dehydrogenase"
"b1190","dadX","alanine racemase, catabolic, PLP-binding"
"b1191","cvrA","putative cation/proton antiporter"
"b1192","ldcA","murein tetrapeptide carboxypeptidase; LD-carboxypeptidase A"
"b1193","emtA","lytic murein endotransglycosylase E"
"b1194","ycgR","flagellar velocity braking protein, c-di-GMP-regulated"
"b1195","ymgE","UPF0410 family putative inner membrane protein"
"b1196","ycgY","uncharacterized protein"
"b1197","treA","periplasmic trehalase"
"b1198","dhaM","putative dihydroxyacetone-specific PTS enzymes: HPr component/EI component"
"b1199","dhaL","dihydroxyacetone kinase, C-terminal domain"
"b1200","dhaK","dihydroxyacetone kinase, PTS-dependent, dihydroxyacetone-binding subunit"
"b1201","dhaR","dhaKLM operon transcription activator"
"b1202","ycgV","putative adhesin"
"b1203","ychF","catalase inhibitor protein; ATPase, K+-dependent, ribosome-associated"
"b1204","pth","peptidyl-tRNA hydrolase"
"b1205","ychH","DUF2583 family putative inner membrane protein"
"b1206","dauA","C4-dicarboxylic acid transporter"
"b1207","prs","phosphoribosylpyrophosphate synthase"
"b1208","ispE","4-diphosphocytidyl-2-C-methylerythritol kinase"
"b1209","lolB","lipoprotein localization factor"
"b1210","hemA","glutamyl tRNA reductase"
"b1211","prfA","peptide chain release factor RF-1"
"b1212","prmC","N5-glutamine methyltransferase, modifies release factors RF-1 and RF-2"
"b1213","ychQ","SIRB family inner membrane protein"
"b1214","ychA","transglutaminase-like TPR-repeat protein"
"b1215","kdsA","3-deoxy-D-manno-octulosonate 8-phosphate synthase"
"b4419","ldrA","toxic polypeptide, small"
"b4420","rdlA","-"
"b4421","ldrB","toxic polypeptide, small"
"b4422","rdlB","-"
"b4423","ldrC","toxic polypeptide, small"
"b4424","rdlC","-"
"b1216","chaA","calcium/sodium:proton antiporter"
"b1217","chaB","cation transport regulator"
"b1218","chaC","cation transport regulator"
"b1219","ychN","putative sulfur relay protein"
"b1220","ychO","putative invasin"
"b1221","narL","response regulator in two-component regulatory system with NarX (or NarQ)"
"b1222","narX","sensory histidine kinase in two-component regulatory system with NarL"
"b1223","narK","nitrate/nitrite transporter"
"b1224","narG","nitrate reductase 1, alpha subunit"
"b1225","narH","nitrate reductase 1, beta (Fe-S) subunit"
"b1226","narJ","molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1"
"b1227","narI","nitrate reductase 1, gamma (cytochrome b(NR)) subunit"
"b4425","rttR","-"
"b1229","tpr","protamine-like protein"
"b1230","tyrV","Tyr tRNA"
"b1231","tyrT","Tyr tRNA"
"b1232","purU","formyltetrahydrofolate hydrolase"
"b1233","ychJ","UPF0225 family protein"
"b1234","rssA","putative patatin-like family phospholipase"
"b1235","rssB","PcnB-degradosome interaction factor; response regulator"
"b1236","galU","glucose-1-phosphate uridylyltransferase"
"b1237","hns","global DNA-binding transcriptional dual regulator H-NS"
"b1238","tdk","thymidine kinase/deoxyuridine kinase"
"b1241","adhE","fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase"
"b1242","ychE","UPF0056 family inner membrane protein"
"b1243","oppA","oligopeptide transporter subunit"
"b1244","oppB","oligopeptide transporter subunit"
"b1245","oppC","oligopeptide transporter subunit"
"b1246","oppD","oligopeptide transporter subunit"
"b1247","oppF","oligopeptide transporter subunit"
"b1248","yciU","UPF0263 family protein"
"b1249","clsA","cardiolipin synthase 1"
"b4595","yciY","uncharacterized protein"
"b1250","kch","voltage-gated potassium channel"
"b1251","yciI","putative DGPF domain-containing enzyme"
"b1252","tonB","membrane spanning protein in TonB-ExbB-ExbD transport complex"
"b1253","yciA","acyl-CoA esterase"
"b1254","yciB","IspA family inner membrane protein"
"b1255","yciC","UPF0259 family inner membrane protein"
"b1256","ompW","outer membrane protein W"
"b1257","yciE","putative rubrerythrin/ferritin-like metal-binding protein"
"b1258","yciF","putative rubrerythrin/ferritin-like metal-binding protein"
"b1259","yciG","KGG family protein"
"b1260","trpA","tryptophan synthase, alpha subunit"
"b1261","trpB","tryptophan synthase, beta subunit"
"b1262","trpC","fused indole-3-glycerolphosphate synthetase/N-(5-phosphoribosyl)anthranilate isomerase"
"b1263","trpD","fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase"
"b1264","trpE","component I of anthranilate synthase"
"b1265","trpL","trp operon leader peptide"
"b1266","yciV","PHP domain protein"
"b1267","yciO","putative RNA binding protein"
"b1268","yciQ","enhancer of membrane protein expression; putative inner membrane protein"
"b1269","rluB","23S rRNA pseudouridine(2605) synthase"
"b1270","btuR","cob(I)yrinic acid a,c-diamide adenosyltransferase"
"b1271","yciK","putative EmrKY-TolC system oxoacyl-(acyl carrier protein) reductase"
"b1272","sohB","inner membrane protein, S49 peptidase family protein"
"b1273","yciN","DUF2498 protein YciN"
"b1274","topA","DNA topoisomerase I, omega subunit"
"b1275","cysB","N-acetylserine-responsive cysteine regulon transcriptional activator; autorepressor"
"b4522","ymiA","uncharacterized protein"
"b4523","yciX","uncharacterized protein"
"b1276","acnA","aconitate hydratase 1"
"b1277","ribA","GTP cyclohydrolase II"
"b1278","pgpB","phosphatidylglycerophosphatase B"
"b1279","yciS","DUF1049 family inner membrane protein, function unknown"
"b1280","yciM","envelope integrity maintenance protein; EnvC-interacting protein"
"b1281","pyrF","orotidine-5'-phosphate decarboxylase"
"b1282","yciH","initiation factor function partial mimic, SUI1 family"
"b1283","osmB","lipoprotein"
"b1284","yciT","global regulator of transcription; DeoR family"
"b4596","yciZ","uncharacterized protein"
"b1285","gmr","cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability"
"b4672","ymiB","uncharacterized protein"
"b1286","rnb","ribonuclease II"
"b1287","yciW","putative oxidoreductase"
"b1288","fabI","enoyl-[acyl-carrier-protein] reductase, NADH-dependent"
"b1289","ycjD","DUF559 family endonuclease-related protein"
"b1290","sapF","antimicrobial peptide transport ABC system ATP-binding protein"
"b1291","sapD","antimicrobial peptide transport ABC system ATP-binding protein"
"b1292","sapC","antimicrobial peptide transport ABC transporter permease"
"b1293","sapB","antimicrobial peptide transport ABC transporter permease"
"b1294","sapA","antimicrobial peptide transport ABC transporter periplasmic binding protein"
"b1295","ymjA","DUF2543 family protein"
"b1296","puuP","putrescine importer"
"b1297","puuA","glutamate--putrescine ligase"
"b1298","puuD","gamma-glutamyl-gamma-aminobutyrate hydrolase"
"b1299","puuR","repressor for the divergent puu operons, putrescine inducible"
"b1300","puuC","gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase; succinate semialdehyde dehydrogenase"
"b1301","puuB","gamma-glutamylputrescine oxidoreductase"
"b1302","puuE","4-aminobutyrate aminotransferase, PLP-dependent"
"b1303","pspF","psp operon transcriptional activator"
"b1304","pspA","regulatory protein for phage-shock-protein operon"
"b1305","pspB","psp operon transcription co-activator"
"b1306","pspC","psp operon transcription co-activator"
"b1307","pspD","peripheral inner membrane phage-shock protein"
"b1308","pspE","thiosulfate:cyanide sulfurtransferase (rhodanese)"
"b1309","ycjM","alpha amylase catalytic domain family protein"
"b1310","ycjN","putative ABC superfamily sugar transporter periplasmic-binding protein"
"b1311","ycjO","inner membrane putative ABC superfamily sugar transporter permease"
"b1312","ycjP","inner membrane putative ABC superfamily sugar transporter permease"
"b1313","ycjQ","putative Zn-dependent NAD(P)-binding oxidoreductase"
"b1314","ycjR","putative TIM alpha/beta barrel enzyme"
"b1315","ycjS","putative NADH-binding oxidoreductase"
"b1316","ycjT","putative family 65 glycosyl hydrolase"
"b1317","ycjU","beta-phosphoglucomutase"
"b1319","ompG","outer membrane porin G"
"b1320","ycjW","LacI family putative transcriptional repressor"
"b1321","ycjX","DUF463 family protein, putative P-loop NTPase"
"b1322","ycjF","UPF0283 family inner membrane protein"
"b1323","tyrR","aromatic amino acid biosynthesis and transport regulon transcriptional regulator; autorepressor; ATPase; phosphatase"
"b1324","tpx","lipid hydroperoxide peroxidase"
"b1325","ycjG","L-Ala-D/L-Glu epimerase"
"b1326","mpaA","murein peptide amidase A"
"b1327","ycjY","S9 homolog non-peptidase family protein"
"b1328","pgrR","murein peptide degradation regulator"
"b1329","mppA","murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit"
"b1330","ynaI","mechanosensitive channel protein, very small conductance"
"b1331","insH1","IS5 transposase and trans-activator"
"b1332","ynaJ","DUF2534 family putative inner membrane protein"
"b1333","uspE","stress-induced protein"
"b1334","fnr","oxygen-sensing anaerobic growth regulon transcriptional regulator; autorepressor"
"b1335","ogt","O-6-alkylguanine-DNA:cysteine-protein methyltransferase"
"b1336","abgT","p-aminobenzoyl-glutamate transporter; membrane protein"
"b1337","abgB","p-aminobenzoyl-glutamate hydrolase, B subunit"
"b1338","abgA","p-aminobenzoyl-glutamate hydrolase, A subunit"
"b1339","abgR","putative DNA-binding transcriptional regulator of abgABT operon"
"b4426","mcaS","-"
"b1340","smrA","DNA endonuclease"
"b1341","ydaM","diguanylate cyclase, csgD regulator"
"b1342","ydaN","putative Zn(II) transporter"
"b4699","fnrS","-"
"b1343","dbpA","ATP-dependent RNA helicase, specific for 23S rRNA"
"b1344","ttcA","tRNA 2-thiocytidine biosynthesis protein"
"b1345","intR","Rac prophage; integrase"
"b1346","ydaQ","Rac prophage; conserved protein"
"b1347","rcbA","double-strand break reduction protein, Rac prophage"
"b1348","ralR","Rac prophage; restriction alleviation protein"
"b1349","recT","Rac prophage; recombination and repair protein"
"b1350","recE","Rac prophage; exonuclease VIII, 5' -> 3' specific dsDNA exonuclease"
"b1351","racC","Rac prophage; uncharacterized protein"
"b4526","ydaE","Rac prophage; conserved protein"
"b1352","kilR","Rac prophage; inhibitor of ftsZ, killing protein"
"b1353","sieB","Rac prophage; phage superinfection exclusion protein"
"b4527","ydaF","Rac prophage; uncharacterized protein"
"b1355","ydaG","Rac prophage; uncharacterized protein"
"b1356","racR","Rac prophage; putative DNA-binding transcriptional regulator"
"b1357","ydaS","Rac prophage; putative DNA-binding transcriptional regulator"
"b1358","ydaT","Rac prophage; uncharacterized protein"
"b1359","ydaU","Rac prophage; conserved protein"
"b1360","ydaV","Rac prophage; putative DNA replication protein"
"b4528","rzoR","Rac prophage; putative lipoprotein"
"b1363","trkG","Rac prophage; potassium transporter subunit"
"b1365","ynaK","Rac prophage; conserved protein"
"b1372","stfR","Rac prophage; putative tail fiber protein"
"b1373","tfaR","Rac prophage; putative tail fiber assembly protein"
"b1374","pinR","Rac prophage; putative site-specific recombinase"
"b1375","ynaE","cold shock protein, Rac prophage"
"b1376","uspF","stress-induced protein, ATP-binding protein"
"b1377","ompN","outer membrane pore protein N, non-specific"
"b4427","micC","-"
"b1378","pfo","pyruvate-flavodoxin oxidoreductase"
"b4529","ydbJ","DUF333 family putative lipoprotein"
"b1379","hslJ","heat-inducible lipoprotein involved in novobiocin resistance"
"b1380","ldhA","fermentative D-lactate dehydrogenase, NAD-dependent"
"b1381","ydbH","putative membrane-anchored protein, function unknown"
"b1382","ynbE","lipoprotein"
"b1383","ydbL","DUF1318 family protein"
"b1384","feaR","transcriptional activator for tynA and feaB"
"b1385","feaB","phenylacetaldehyde dehydrogenase"
"b1386","tynA","tyramine oxidase, copper-requiring"
"b1387","paaZ","fused oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase"
"b1388","paaA","ring 1,2-phenylacetyl-CoA epoxidase subunit"
"b1389","paaB","putative ring 1,2-phenylacetyl-CoA epoxidase subunit"
"b1390","paaC","ring 1,2-phenylacetyl-CoA epoxidase subunit"
"b1391","paaD","ring 1,2-phenylacetyl-CoA epoxidase subunit"
"b1392","paaE","ring 1,2-phenylacetyl-CoA epoxidase, NAD(P)H oxidoreductase component"
"b1393","paaF","2,3-dehydroadipyl-CoA hydratase"
"b1394","paaG","1,2-epoxyphenylacetyl-CoA isomerase, oxepin-CoA-forming"
"b1395","paaH","3-hydroxyadipyl-CoA dehydrogenase, NAD+-dependent"
"b1396","paaI","hydroxyphenylacetyl-CoA thioesterase"
"b1397","paaJ","3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase"
"b1398","paaK","phenylacetyl-CoA ligase"
"b1399","paaX","transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
"b1400","paaY","putative hexapeptide repeat acetyltransferase"
"b4674","ynbG","uncharacterized protein"
"b1402","insD1","IS2 transposase TnpB"
"b1403","insC1","IS2 repressor TnpA"
"b1404","insI1","IS30 transposase"
"b1406","ydbC","putative NAD(P)-binding oxidoreductase"
"b1407","ydbD","PF10971 family putative periplasmic methylglyoxal resistance protein"
"b1408","ynbA","inner membrane protein"
"b1409","ynbB","putative CDP-diglyceride synthase"
"b1410","ynbC","putative esterase"
"b1411","ynbD","putative phosphatase inner membrane protein"
"b1412","azoR","NADH-azoreductase, FMN-dependent"
"b1413","hrpA","putative ATP-dependent helicase"
"b1414","ydcF","DUF218 superfamily protein, SAM-binding"
"b1415","aldA","aldehyde dehydrogenase A, NAD-linked"
"b1418","cybB","cytochrome b561"
"b4597","rydC","-"
"b1419","ydcA","putative periplasmic protein"
"b4428","hokB","toxic polypeptide, small"
"b1420","mokB","regulatory peptide"
"b4429","sokB","-"
"b1421","trg","methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor"
"b1422","ydcI","putative DNA-binding transcriptional regulator"
"b1423","ydcJ","putative metalloenzyme"
"b1424","opgD","osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein"
"b1426","ydcH","DUF465 family protein"
"b1427","rimL","ribosomal-protein-L7/L12-serine acetyltransferase"
"b1428","ydcK","uncharacterized protein"
"b1429","tehA","potassium-tellurite ethidium and proflavin transporter"
"b1430","tehB","tellurite, selenium methyltransferase, SAM-dependent; tellurite, selenium resistance protein"
"b1431","ydcL","lipoprotein"
"b1432","insQ","IS609 transposase B"
"b1433","ydcO","BenE family inner membrane putative transporter"
"b1434","ydcN","putative DNA-binding transcriptional regulator"
"b1435","ydcP","putative peptidase"
"b1436","yncJ","uncharacterized protein"
"b4532","hicA","mRNA interferase toxin of the HicAB toxin-antitoxin system"
"b1438","hicB","antitoxin for the HicAB toxin-antitoxin system"
"b1439","ydcR","putative DNA-binding transcriptional regulator/putative amino transferase"
"b1440","ydcS","polyhydroxybutyrate (PHB) synthase, ABC transporter periplasmic binding protein homolog"
"b1441","ydcT","putative spermidine/putrescine transporter subunit"
"b1442","ydcU","putative spermidine/putrescine transporter subunit"
"b1443","ydcV","putative spermidine/putrescine transporter subunit"
"b1444","patD","gamma-aminobutyraldehyde dehydrogenase"
"b4598","yncL","stress-induced small inner membrane enterobacterial protein"
"b1445","ydcX","DUF2566 family protein"
"b1446","ydcY","uncharacterized protein"
"b1447","ydcZ","DUF606 family inner membrane protein"
"b1448","mnaT","methionine N-acyltransferase; L-amino acid N-acyltransferase"
"b1449","curA","curcumin/dihydrocurcumin reductase, NADPH-dependent"
"b1450","mcbR","colanic acid and biofilm gene transcriptional regulator, MqsR-controlled"
"b1451","yncD","putative iron outer membrane transporter"
"b1452","yncE","ATP-binding protein, periplasmic, function unknown"
"b1453","ansP","L-asparagine transporter"
"b1454","yncG","glutathione S-transferase homolog"
"b1455","yncH","IPR020099 family protein"
"b1457","ydcD","uncharacterized protein"
"b1460","ydcC","H repeat-associated putative transposase"
"b1461","pptA","4-oxalocrotonate tautomerase"
"b1462","yddH","flavin reductase like-protein"
"b1463","nhoA","N-hydroxyarylamine O-acetyltransferase"
"b1464","yddE","PhzC-PhzF family protein"
"b1465","narV","nitrate reductase 2 (NRZ), gamma subunit"
"b1466","narW","nitrate reductase 2 (NRZ), delta subunit (assembly subunit)"
"b1467","narY","nitrate reductase 2 (NRZ), beta subunit"
"b1468","narZ","nitrate reductase 2 (NRZ), alpha subunit"
"b1469","narU","nitrate/nitrite transporter"
"b1473","yddG","aromatic amino acid exporter"
"b1474","fdnG","formate dehydrogenase-N, alpha subunit, nitrate-inducible"
"b1475","fdnH","formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible"
"b1476","fdnI","formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible"
"b1477","yddM","putative DNA-binding transcriptional regulator"
"b1478","adhP","ethanol-active dehydrogenase/acetaldehyde-active reductase"
"b1479","maeA","malate dehydrogenase, (decarboxylating, NAD-requiring) (malic enzyme)"
"b1480","sra","stationary-phase-induced ribosome-associated protein"
"b1481","bdm","biofilm-dependent modulation protein"
"b1482","osmC","lipoyl-dependent Cys-based peroxidase, hydroperoxide resistance; salt-shock inducible membrane protein; peroxiredoxin"
"b1483","ddpF","D,D-dipeptide permease system, ATP-binding component"
"b1484","ddpD","D,D-dipeptide permease system, ATP-binding component"
"b1485","ddpC","D-ala-D-ala transporter subunit"
"b1486","ddpB","D-ala-D-ala transporter subunit"
"b1487","ddpA","D-ala-D-a la transporter subunit"
"b1488","ddpX","D-ala-D-ala dipeptidase, Zn-dependent"
"b1489","dosP","oxygen sensor, c-di-GMP phosphodiesterase, heme-regulated; cold- and stationary phase-induced bioflim regulator"
"b1490","dosC","diguanylate cyclase, cold- and stationary phase-induced oxygen-dependent biofilm regulator"
"b1491","yddW","liprotein, glycosyl hydrolase homolog"
"b1492","gadC","glutamate:gamma-aminobutyric acid antiporter"
"b1493","gadB","glutamate decarboxylase B, PLP-dependent"
"b1494","pqqL","putative periplasmic M16 family zinc metalloendopeptidase"
"b1495","yddB","putative TonB-dependent outer membrane receptor"
"b1496","yddA","putative multidrug transporter subunit of ABC superfamily, membrane component/ATP-binding component"
"b1497","ydeM","putative YdeN-specific sulfatase-maturating enzyme"
"b1498","ydeN","putative Ser-type periplasmic non-aryl sulfatase"
"b1499","ydeO","UV-inducible global regulator, EvgA-, GadE-dependent"
"b1500","safA","two-component system connector membrane protein, EvgSA to PhoQP"
"b1501","ydeP","putative oxidoreductase"
"b1502","ydeQ","putative fimbrial-like adhesin protein"
"b1503","ydeR","putative fimbrial-like adhesin protein"
"b1504","ydeS","putative fimbrial-like adhesin protein"
"b1507","hipA","inactivating GltX kinase facilitating persister formation; toxin of HipAB TA pair; autokinase"
"b1508","hipB","antitoxin of HipAB toxin-antitoxin system"
"b1511","lsrK","autoinducer-2 (AI-2) kinase"
"b1512","lsrR","lsr operon transcriptional repressor"
"b1513","lsrA","autoinducer 2 import ATP-binding protein"
"b1514","lsrC","autoinducer 2 import system permease protein"
"b1515","lsrD","autoinducer 2 import system permease protein"
"b1516","lsrB","autoinducer 2-binding protein"
"b1517","lsrF","putative autoinducer-2 (AI-2) aldolase"
"b1518","lsrG","autoinducer-2 (AI-2) degrading protein LsrG"
"b1519","tam","trans-aconitate methyltransferase"
"b1520","yneE","bestrophin family putative inner membrane protein"
"b1521","uxaB","altronate oxidoreductase, NAD-dependent"
"b1522","yneF","putative membrane-bound diguanylate cyclase"
"b1523","yneG","DUF4186 family protein"
"b1524","glsB","glutaminase 2"
"b1525","sad","succinate semialdehyde dehydrogenase, NAD(P)+-dependent"
"b1526","yneJ","putative DNA-binding transcriptional regulator"
"b1527","yneK","uncharacterized protein"
"b1528","ydeA","arabinose efflux transporter, arabinose-inducible"
"b1529","marC","UPF0056 family inner membrane protein"
"b1530","marR","transcriptional repressor of multiple antibiotic resistance"
"b1531","marA","multiple antibiotic resistance transcriptional regulator"
"b1532","marB","mar operon regulator, periplasmic"
"b1533","eamA","cysteine and O-acetyl-L-serine efflux system"
"b1534","ydeE","putative transporter"
"b4599","yneM","inner membrane-associated protein"
"b4698","mgrR","-"
"b1535","dgcZ","diguanylate cyclase, zinc-sensing"
"b1536","ydeI","hydrogen peroxide resistance OB fold protein; putative periplasmic protein"
"b1537","ydeJ","inactive PncC family protein"
"b1538","dcp","dipeptidyl carboxypeptidase II"
"b1539","ydfG","NADP-dependent 3-hydroxy acid dehydrogenase; malonic semialdehyde reductase"
"b1540","rspR","transcriptional repressor for rspAB"
"b1541","ydfZ","selenoprotein, function unknown"
"b1542","ydfI","putative NAD-dependent D-mannonate oxidoreductase"
"b1544","ydfK","cold shock protein, function unknown, Qin prophage"
"b1545","pinQ","Qin prophage; putative site-specific recombinase"
"b1546","tfaQ","Qin prophage; putative tail fiber assembly protein"
"b1547","stfQ","Qin prophage; putative side tail fiber assembly protein"
"b4533","ynfO","uncharacterized protein, Qin prophage"
"b1549","ydfO","Qin prophage; uncharacterized protein"
"b1550","gnsB","Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts)"
"b1551","ynfN","Qin prophage; cold shock-induced protein"
"b1552","cspI","Qin prophage; cold shock protein"
"b1553","rzpQ","Rz-like protein, Qin prophage"
"b4689","rzoQ","putative Rz1-like lipoprotein, Qin prophage"
"b1554","rrrQ","Qin prophage; putative lysozyme"
"b1555","ydfR","Qin prophage; uncharacterized protein"
"b1556","essQ","Qin prophage; putative S lysis protein"
"b1557","cspB","Qin prophage; cold shock protein"
"b1558","cspF","Qin prophage; cold shock protein"
"b1559","quuQ","Qin prophage; putative antitermination protein Q"
"b1560","ydfU","Qin prophage; uncharacterized protein"
"b1561","rem","Qin prophage; uncharacterized protein"
"b1562","hokD","Qin prophage; small toxic polypeptide"
"b1563","relE","Qin prophage; toxin of the RelE-RelB toxin-antitoxin system"
"b1564","relB","Qin prophage; bifunctional antitoxin of the RelE-RelB toxin-antitoxin system/ transcriptional repressor"
"b1565","ydfV","Qin prophage; uncharacterized protein"
"b1566","flxA","Qin prophage; uncharacterized protein"
"b1569","dicC","Qin prophage; DNA-binding transcriptional regulator for DicB"
"b1570","dicA","Qin prophage; putative regulator for DicB"
"b1571","ydfA","Qin prophage; uncharacterized protein"
"b1572","ydfB","Qin prophage; uncharacterized protein"
"b1573","ydfC","uncharacterized protein, Qin prophage"
"b1574","dicF","-"
"b1575","dicB","Qin prophage; cell division inhibition protein"
"b1576","ydfD","Qin prophage; uncharacterized protein"
"b1580","rspB","putative Zn-dependent NAD(P)-binding oxidoreductase"
"b1581","rspA","bifunctional D-altronate/D-mannonate dehydratase"
"b1582","ynfA","UPF0060 family inner membrane protein"
"b1583","ynfB","UPF0482 family putative periplasmic protein"
"b1584","speG","spermidine N1-acetyltransferase"
"b1585","ynfC","UPF0257 family lipoprotein"
"b1586","ynfD","DUF1161 family periplasmic protein"
"b1587","ynfE","putative selenate reductase, periplasmic"
"b1588","ynfF","S- and N-oxide reductase, A subunit, periplasmic"
"b1589","ynfG","oxidoreductase, Fe-S subunit"
"b1590","ynfH","oxidoreductase, membrane subunit"
"b1591","dmsD","twin-argninine leader-binding protein for DmsA and TorA"
"b1592","clcB","H(+)/Cl(-) exchange transporter"
"b1593","ynfK","putative dethiobiotin synthetase"
"b1594","mlc","glucosamine anaerobic growth regulon transcriptional repressor; autorepressor"
"b1595","ynfL","LysR family putative transcriptional regulator"
"b1596","ynfM","putative arabinose efflux transporter"
"b1597","asr","acid shock-inducible periplasmic protein"
"b4601","ydgU","stationary phase-induced protein"
"b1598","ydgD","putative peptidase"
"b1599","mdtI","multidrug efflux system transporter"
"b1600","mdtJ","multidrug efflux system transporter"
"b1601","tqsA","pheromone AI-2 transporter"
"b1602","pntB","pyridine nucleotide transhydrogenase, beta subunit"
"b1603","pntA","pyridine nucleotide transhydrogenase, alpha subunit"
"b1604","ydgH","DUF1471 family periplasmic protein"
"b1605","ydgI","putative arginine/ornithine antiporter transporter"
"b1606","folM","dihydromonapterin reductase, NADPH-dependent; dihydrofolate reductase isozyme"
"b1607","ydgC","GlpM family inner membrane protein"
"b1608","rstA","response regulator of RstAB two-component system, low Mg-responsive via PhoQP"
"b1609","rstB","sensory histidine kinase of RstAB two-component system, low Mg-responsive via PhoQP"
"b1610","tus","inhibitor of replication at Ter, DNA-binding protein"
"b1611","fumC","fumarate hydratase (fumarase C),aerobic Class II"
"b1612","fumA","fumarate hydratase (fumarase A), aerobic Class I"
"b1613","manA","mannose-6-phosphate isomerase"
"b1614","ydgA","DUF945 family protein"
"b1615","uidC","putative outer membrane porin for beta-glucuronides porin protein"
"b1616","uidB","glucuronide transporter"
"b1617","uidA","beta-D-glucuronidase"
"b1618","uidR","transcriptional repressor"
"b1619","hdhA","7-alpha-hydroxysteroid dehydrogenase, NAD-dependent"
"b1620","malI","transcriptional repressor of Mal regulon"
"b1621","malX","fused maltose and glucose-specific PTS enzymes: IIB component, IIC component"
"b1622","malY","bifunctional beta-cystathionase, PLP-dependent/ regulator of maltose regulon"
"b1623","add","adenosine deaminase"
"b1624","ydgJ","putative oxidoreductase"
"b4409","blr","beta-lactam resistance membrane protein; divisome-associated protein"
"b1625","cnu","nucleoid-associated oriC-binding protein; H-NS and StpA stabilizing factor"
"b1626","ydgK","DUF2569 family inner membrane protein"
"b1627","rsxA","SoxR iron-sulfur cluster reduction factor component; inner membrane protein of electron transport complex"
"b1628","rsxB","SoxR iron-sulfur cluster reduction factor component; putative iron-sulfur protein"
"b1629","rsxC","SoxR iron-sulfur cluster reduction factor component; putative membrane-associated NADH oxidoreductase of electron transport complex"
"b1630","rsxD","SoxR iron-sulfur cluster reduction factor component; putative membrane protein of electron transport complex"
"b1631","rsxG","SoxR iron-sulfur cluster reduction factor component; putative membrane protein of electron transport complex"
"b1632","rsxE","SoxR iron-sulfur cluster reduction factor component; electron transport inner membrane NADH-quinone reductase"
"b1633","nth","DNA glycosylase and apyrimidinic (AP) lyase (endonuclease III)"
"b1634","dtpA","dipeptide and tripeptide permease A"
"b1635","gstA","glutathionine S-transferase"
"b1636","pdxY","pyridoxamine kinase"
"b1637","tyrS","tyrosyl-tRNA synthetase"
"b1638","pdxH","pyridoxine 5'-phosphate oxidase"
"b1639","mliC","inhibitor of c-type lysozyme, membrane-bound; putative lipoprotein"
"b1640","anmK","anhydro-N-acetylmuramic acid kinase"
"b1641","slyB","outer membrane lipoprotein"
"b1642","slyA","global transcriptional regulator"
"b1643","ydhI","DUF1656 family putative inner membrane efflux pump associated protein"
"b1644","ydhJ","putative membrane fusion protein (MFP) of YdhJK efflux pump"
"b1645","ydhK","putative efflux protein (PET) component of YdhJK efflux pump"
